Date,montoSpei,montoCodi,tc
28/11/2020,"9,014,129,819","4,241,005",N/E
29/11/2020,"3,463,462,754","3,076,649",N/E
30/11/2020,"652,458,873,726","8,147,872",20.0777
1/12/2020,"444,957,039,532","6,722,647",20.1398
2/12/2020,"387,326,890,261","5,914,323",20.0508
3/12/2020,"430,231,548,148","5,670,920",20.0497
4/12/2020,"447,340,945,605","5,280,563",19.9083
5/12/2020,"8,022,497,473","4,381,990",N/E
6/12/2020,"3,038,161,576","2,837,956",N/E
7/12/2020,"503,747,578,821","4,786,650",19.7838
8/12/2020,"442,278,849,629","4,861,017",19.8213
9/12/2020,"395,545,287,080","4,942,780",19.7537
10/12/2020,"492,822,238,840","5,355,329",19.8368
11/12/2020,"513,977,196,951","6,573,805",19.9572
12/12/2020,"8,365,173,607","4,837,947",N/E
13/12/2020,"3,596,815,613","3,444,379",N/E
14/12/2020,"581,335,791,143","8,815,274",20.1075
15/12/2020,"488,096,842,221","8,393,213",20.1778
16/12/2020,"497,040,132,036","6,040,237",20.1113
17/12/2020,"574,087,025,935","5,930,495",19.9513
18/12/2020,"510,518,387,048","6,629,352",19.8173
19/12/2020,"10,046,606,740","4,485,328",N/E
20/12/2020,"3,845,462,458","2,914,825",N/E
21/12/2020,"534,458,430,355","5,683,705",19.9487
22/12/2020,"476,866,113,751","5,261,392",20.0905
23/12/2020,"488,379,547,520","5,718,386",20.0562
24/12/2020,"362,784,347,666","6,555,346",20.1175
25/12/2020,"2,642,102,289","1,653,779",N/E
26/12/2020,"5,840,455,766","2,691,000",N/E
27/12/2020,"3,020,433,296","1,928,274",N/E
28/12/2020,"519,238,591,792","4,553,215",19.8517
29/12/2020,"465,945,892,095","5,495,468",20.0477
30/12/2020,"542,159,078,829","5,933,589",19.9487
31/12/2020,"581,721,437,518","5,006,150",19.9352
1/1/2021,"3,978,999,781","2,366,434",N/E
2/1/2021,"6,225,255,151","3,922,240",N/E
3/1/2021,"3,602,370,852","2,757,216",N/E
4/1/2021,"490,926,770,879","5,746,533",19.9087
5/1/2021,"386,605,248,528","4,860,310",19.8457
6/1/2021,"361,559,814,582","3,966,727",19.9437
