Date,relacion mont/num,tc,montoSpei,numSpei
24/03/2011,"931,460",12.0004,"252,972,522,843","271,587"
25/03/2011,"619,056",11.9555,"248,645,507,463","401,653"
26/03/2011,#VALOR!,N/E,N/E,N/E
27/03/2011,"14,383",N/E,"26,147,457","1,818"
28/03/2011,"947,878",11.9505,"274,658,067,333","289,761"
29/03/2011,"897,199",11.959,"251,188,900,453","279,970"
30/03/2011,"780,385",11.9678,"270,207,601,354","346,249"
31/03/2011,"658,669",11.9219,"329,740,120,765","500,616"
1/4/2011,"664,140",11.9084,"245,432,947,232","369,550"
2/4/2011,#VALOR!,N/E,N/E,N/E
3/4/2011,#VALOR!,N/E,N/E,N/E
4/4/2011,"741,386",11.8412,"221,248,195,404","298,425"
5/4/2011,"653,095",11.8533,"202,857,726,552","310,610"
6/4/2011,"752,136",11.8322,"190,600,165,329","253,412"
7/4/2011,"759,220",11.7836,"211,234,616,958","278,226"
8/4/2011,"560,232",11.7931,"220,967,359,263","394,421"
9/4/2011,#VALOR!,N/E,N/E,N/E
10/4/2011,#VALOR!,N/E,N/E,N/E
11/4/2011,"769,667",11.7421,"226,475,142,555","294,251"
12/4/2011,"896,847",11.7447,"231,281,619,785","257,883"
13/04/2011,"873,713",11.8266,"229,977,990,930","263,219"
14/04/2011,"686,231",11.7907,"247,900,277,029","361,249"
15/04/2011,"564,911",11.7679,"284,600,963,570","503,798"
