Date,montoSpei,montoCodi,tc
5/3/2011,N/E,,N/E
6/3/2011,N/E,,N/E
7/3/2011,"223,352,300,811",,12.0064
8/3/2011,"211,349,573,713",,12.017
9/3/2011,"232,065,335,931",,12.0254
10/3/2011,"244,415,688,297",,11.968
11/3/2011,"255,580,856,900",,11.9755
12/3/2011,N/E,,N/E
13/03/2011,N/E,,N/E
14/03/2011,"246,846,223,081",,11.9441
15/03/2011,"231,681,087,325",,11.9235
16/03/2011,"227,487,544,372",,12.0171
17/03/2011,"248,569,205,966",,12.071
18/03/2011,"230,443,769,575",,12.0925
19/03/2011,N/E,,N/E
20/03/2011,N/E,,N/E
21/03/2011,N/E,,12.0615
22/03/2011,"251,094,217,807",,N/E
23/03/2011,"220,269,847,966",,11.9885
24/03/2011,"252,972,522,843",,12.0004
25/03/2011,"248,645,507,463",,11.9555
26/03/2011,N/E,,N/E
27/03/2011,"26,147,457",,N/E
28/03/2011,"274,658,067,333",,11.9505
29/03/2011,"251,188,900,453",,11.959
30/03/2011,"270,207,601,354",,11.9678
31/03/2011,"329,740,120,765",,11.9219
1/4/2011,"245,432,947,232",,11.9084
2/4/2011,N/E,,N/E
3/4/2011,N/E,,N/E
4/4/2011,"221,248,195,404",,11.8412
5/4/2011,"202,857,726,552",,11.8533
6/4/2011,"190,600,165,329",,11.8322
7/4/2011,"211,234,616,958",,11.7836
8/4/2011,"220,967,359,263",,11.7931
9/4/2011,N/E,,N/E
10/4/2011,N/E,,N/E
11/4/2011,"226,475,142,555",,11.7421
12/4/2011,"231,281,619,785",,11.7447
13/04/2011,"229,977,990,930",,11.8266
14/04/2011,"247,900,277,029",,11.7907
15/04/2011,"284,600,963,570",,11.7679
16/04/2011,N/E,,N/E
17/04/2011,N/E,,N/E
18/04/2011,"273,952,842,942",,11.709
19/04/2011,"233,127,533,016",,11.7783
20/04/2011,"256,518,420,681",,11.6925
21/04/2011,N/E,,11.6252
22/04/2011,N/E,,N/E
23/04/2011,N/E,,N/E
24/04/2011,N/E,,N/E
25/04/2011,"290,448,955,630",,N/E
26/04/2011,"262,911,578,841",,11.6294
27/04/2011,"245,317,495,636",,11.5824
28/04/2011,"262,440,114,164",,11.5868
29/04/2011,"332,826,613,146",,11.5428
30/04/2011,N/E,,N/E
1/5/2011,N/E,,N/E
2/5/2011,"235,885,640,239",,11.5278
3/5/2011,"209,309,024,814",,11.5023
4/5/2011,"236,086,390,570",,11.5665
5/5/2011,"148,610,477,108",,11.6214
6/5/2011,"209,624,563,895",,11.6934
7/5/2011,N/E,,N/E
8/5/2011,N/E,,N/E
9/5/2011,"242,419,271,921",,11.609
10/5/2011,"217,259,248,337",,11.641
11/5/2011,"202,735,646,577",,11.6009
12/5/2011,"224,868,955,812",,11.6075
13/05/2011,"236,374,937,353",,11.6656
14/05/2011,N/E,,N/E
15/05/2011,N/E,,N/E
16/05/2011,"256,819,669,003",,11.7219
17/05/2011,"260,868,385,067",,11.7094
18/05/2011,"212,658,875,349",,11.766
19/05/2011,"227,666,423,072",,11.7234
20/05/2011,"245,057,880,605",,11.6588
21/05/2011,"19,606",,N/E
22/05/2011,N/E,,N/E
23/05/2011,"255,855,855,570",,11.6467
24/05/2011,"243,400,013,329",,11.7292
25/05/2011,"240,638,115,800",,11.7032
26/05/2011,"260,526,264,247",,11.6948
27/05/2011,"290,456,653,685",,11.6956
28/05/2011,N/E,,N/E
29/05/2011,N/E,,N/E
30/05/2011,"270,324,791,024",,11.6256
31/05/2011,"290,934,893,185",,11.6123
1/6/2011,"213,625,901,733",,11.578
2/6/2011,"230,240,502,832",,11.6277
3/6/2011,"229,000,999,125",,11.6739
4/6/2011,N/E,,N/E
5/6/2011,N/E,,N/E
6/6/2011,"243,950,705,556",,11.6689
7/6/2011,"241,107,006,196",,11.6983
8/6/2011,"228,388,537,650",,11.7196
9/6/2011,"249,462,850,353",,11.8001
10/6/2011,"270,483,738,303",,11.7965
11/6/2011,N/E,,N/E
12/6/2011,N/E,,N/E
13/06/2011,"253,794,927,615",,11.8686
14/06/2011,"254,793,072,592",,11.868
15/06/2011,"260,560,254,436",,11.7982
16/06/2011,"240,328,721,677",,11.8751
17/06/2011,"273,328,406,656",,11.9591
18/06/2011,N/E,,N/E
19/06/2011,N/E,,N/E
20/06/2011,"274,191,230,912",,11.9006
21/06/2011,"206,037,465,653",,11.8916
22/06/2011,"199,437,982,202",,11.813
23/06/2011,"235,432,800,049",,11.7789
24/06/2011,"243,392,945,704",,11.8816
25/06/2011,N/E,,N/E
26/06/2011,N/E,,N/E
27/06/2011,"258,567,359,869",,11.8822
28/06/2011,"271,723,121,035",,11.8938
29/06/2011,"300,936,948,032",,11.8389
30/06/2011,"328,531,877,174",,11.7748
1/7/2011,"254,892,811,757",,11.723
2/7/2011,N/E,,N/E
3/7/2011,N/E,,N/E
4/7/2011,"223,998,492,226",,11.6368
5/7/2011,"252,903,195,336",,11.5925
6/7/2011,"234,171,514,665",,11.6194
7/7/2011,"253,481,593,378",,11.6544
8/7/2011,"250,787,954,119",,11.5738
9/7/2011,N/E,,N/E
10/7/2011,"15,000",,N/E
11/7/2011,"263,902,458,465",,11.6337
12/7/2011,"258,008,656,128",,11.7274
13/07/2011,"233,223,981,035",,11.7867
14/07/2011,"243,415,739,484",,11.717
15/07/2011,"288,804,334,880",,11.701
16/07/2011,"10,000",,N/E
17/07/2011,N/E,,N/E
18/07/2011,"272,342,201,621",,11.7178
19/07/2011,"243,602,114,123",,11.7877
20/07/2011,"252,909,161,666",,11.6964
21/07/2011,"230,364,714,745",,11.6638
22/07/2011,"244,498,419,703",,11.6174
23/07/2011,N/E,,N/E
24/07/2011,N/E,,N/E
25/07/2011,"274,831,080,673",,11.6393
26/07/2011,"281,034,517,472",,11.6641
27/07/2011,"279,227,239,537",,11.6172
28/07/2011,"277,930,789,576",,11.6527
29/07/2011,"292,823,700,618",,11.6821
30/07/2011,N/E,,N/E
31/07/2011,N/E,,N/E
